No.|Company Code|Business Area|Asset|Subnumber|Asset Class|Asset Type|Function|Asset Description|Asset Description(2)|UseLife|Street|City|Quantity|Base Unit of Measurement|Asset Condition|Capitalize On|Acquisition On|Acquisition Value|Nett Book Value|Original Asset|Subnumber
1|5100|5115|4960000001|00001|40501|1101001|11|#1-SAMPLE TANAH - Jl. Raya Loji RT 03 RW 01||0|Jl. Raya Loji RT 03 RW 01|Kota Cikarang|1.232|M2|1|19950810|20221101|981.291.460|981.291.460|160000001|0
2|5100|5115|4960000002|00001|40501|1101001|11|#2-SAMPLE TANAH - Jl. Pembangunan II Pasar Cikarang||0|Jl. Pembangunan II Pasar Cikarang|Kota Cikarang|1.888|M2|1|20030205|20221101|2.808.372.475|2.808.372.475|160000002|0
3|5100|5115|4960000003|00001|40502|2101001|17|#3-SAMPLE MESS UWP II|MESS UWP II|30|Jl Martil|Jakarta Timur|712|M2|1|20020131|20230620|17.375.098|16.581.075|160000003|0
4|5100|5115|4960000004|00001|40502|2103002|17|#4-SAMPLE SELOKAN 320/1.,5/1,00|SELOKAN 320/1.,5/1,00|10|Jl. Raya Bekasi Timur KM. 18/ Jl. Swadaya PLN|Jakarta Timur|320|M2|1|20020131|20230620|33.650.783|32.112.979|160000004|0
5|5100|5115|4960000005|00001|40503|3104006|1|#5-SAMPLE LUIR DESC 1|LUIR DESC 2|50|Jl. Luir|Kota Bandung|4|U|1|20020131|20230620|3.715.744.634|935.817.167|160000005|0
6|5100|5115|4960000006|00001|40503|3104007|1|#6-SAMPLE LUIR DESC 1|LUIR DESC 2|50|Jl. Luir|Kota Bandung|5|U|1|20020131|20230620|3.715.744.634|935.817.167|160000006|0
7|5100|5115|4960000007|00001|40504|4101002|1|#7-SAMPLE SEPUR DESC 1|SEPUR DESC 2|24|Jl. Sepur|Kota Bandung|6|U|1|20020131|20230620|3.715.744.634|935.817.167|160000007|0
8|5100|5115|4960000008|00001|40504|4101003|1|#8-SAMPLE SEPUR DESC 1|SEPUR DESC 2|24|Jl. Sepur|Kota Bandung|7|U|1|20020131|20230620|3.715.744.634|935.817.167|160000008|0
9|5100|5115|4960000009|00001|40518|19101011|14|#9-SAMPLE TOYOTA KIJANG LGX 1.8 EFI  D 1469 YR|TOYOTA KIJANG LGX 1.8 EFI  D 1469 YR|5|Jl. Raya Bekasi Timur KM. 18/ Jl. Swadaya PLN|JAKARTA TIMUR|1|U|1|20220819|20230620|169.984.300|4.925.000|160000009|0
10|5100|5115|4960000010|00001|40518|19101002|9|#10-SAMPLE UNIT KABEL BERGERAK||5|UP3 Cikarang|CIKARANG|2|U|1|20200731|20221101|3.715.744.634|935.817.167|160000010|0
11|5100|5115|4960000011|00001|40513|15199001|14|#11-SAMPLE ALAT UJI RELAY 3 PHASA PONOVO L-336i|ALAT UJI RELAY 3 PHASA PONOVO L-336i|10|Jl Banten No. 8|Kota Bandung|1|U|1|20191119|20230620|352.607.274|288.837.873|160000011|0
12|5100|5115|4960000012|00001|40517|18199008|12|#12-SAMPLE SISTEM ALARM KEBAKARAN UP2W III|SISTEM ALARM KEBAKARAN UP2W III|5|JL. BANTEN NO. 8|Bandung|1|LOT|1|20191202|20230620|119.097.000|35.729.100|160000012|0
12|5100|5115|4960000012|00002|40517|18199008|12|#12-SAMPLE SISTEM ALARM KEBAKARAN UP2W III|SISTEM ALARM KEBAKARAN UP2W III|5|JL. BANTEN NO. 8|Bandung|1|LOT|1|20191202|20230620|119.097.000|35.729.100|160000012|0
